2025-10-24 07:26:02,963 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '07d6ad91-edff-4e13-8aef-0680f0a4cb37', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:34,055 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '946fb76c-d37c-46d5-a68b-6ed67ea5a37a', 'command': 'pin_mode', 'pin': 'D6', 'mode': 'OUTPUT'}
2025-10-24 07:26:34,085 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '6b56d166-30f9-4d0d-bb02-1e3e513c40d0', 'command': 'pin_mode', 'pin': 'D7', 'mode': 'OUTPUT'}
2025-10-24 07:26:34,365 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'e40dbac5-4ced-40dd-b7c7-1599815dd069', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:26:34,534 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '0b18f9b2-1e00-44c3-a889-f39b7fb44f72', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:26:34,640 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '5b57fc17-4e2b-438f-b680-4401f558b6fc', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:26:35,392 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '72a438c6-5cd3-4a70-8a43-5ce53c368351', 'command': 'pin_mode', 'pin': 'D3', 'mode': 'OUTPUT'}
2025-10-24 07:26:35,408 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '86c8093b-84ca-4c1f-8484-91a74f0a5f40', 'command': 'pin_mode', 'pin': 'D4', 'mode': 'OUTPUT'}
2025-10-24 07:26:35,448 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '264332a9-902d-4ddf-8e31-c9ddda28dccc', 'command': 'pin_mode', 'pin': 'D5', 'mode': 'OUTPUT'}
2025-10-24 07:26:35,685 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '16fac528-bcb4-4f9a-bb36-570f35fee711', 'command': 'pin_mode', 'pin': 'D6', 'mode': 'OUTPUT'}
2025-10-24 07:26:35,967 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '23525514-2fe2-42b0-bb1a-269bd65d0acd', 'command': 'pin_mode', 'pin': 'D7', 'mode': 'OUTPUT'}
2025-10-24 07:26:35,988 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'e6ee45a7-ad66-454c-a4a0-3850fbd05022', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:26:36,300 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'dcc05916-40aa-4ef7-8286-2edfc3416702', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:26:36,591 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '5cdfec84-77c0-471f-b578-7f042f44e945', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:26:36,846 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '6f03b243-7dc5-4b2b-94b7-358ef6112bfb', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:26:39,843 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '01b7c0d1-130c-4960-b02b-7009032d87b0', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:26:40,497 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'ddf5c733-4bfe-4f1b-bb37-7ebda230cc7c', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:26:41,039 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cb56d6f5-fdc1-4506-b813-49deadb76ba9', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:26:41,316 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'e541bdec-f38f-4213-99d9-a1c47694ad27', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:26:41,842 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'e68d5deb-67ca-41ed-a7cf-c43193a337cc', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:26:43,092 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '10450776-1636-4fcc-8afe-272f2967411b', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:26:43,473 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '51de19c2-83d4-4ba8-98fc-154941720ecd', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:26:43,657 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'bfa085a6-062f-4ef1-993d-83d9af98a3b7', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:26:43,805 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'dd3e5f70-2e2d-4825-9a3d-8eccc2b3f6ea', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:26:43,939 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '210690e0-6a37-4a69-8b12-262a205557d2', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:26:44,088 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '6fde8d63-b2be-4d12-a144-91132db8d8b8', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:26:44,250 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '58c6d4a8-2378-4ab8-8698-6ede87acaa6d', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:26:49,552 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '709924ed-2105-443f-8db0-414b9557a897', 'command': 'digital_read', 'pin': 'D9'}
2025-10-24 07:26:50,772 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '7413d323-6fcf-47d4-96e9-f2ebee5b460f', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:26:51,462 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'd15e1fe6-d8e0-4ac1-975d-6d880d2481ea', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:26:52,560 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '45a85fe6-311a-41d6-8928-c46321389819', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:26:53,144 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '6bd3ff79-0014-445d-867e-2776a4b10dd1', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:26:54,027 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'b69835ba-8260-40f9-bafb-5fd259a3b523', 'command': 'digital_write', 'pin': 'D11', 'value': 0}
2025-10-24 07:26:54,439 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '4a5eecd1-13f0-4006-b96d-62c91e481e18', 'command': 'digital_write', 'pin': 'D11', 'value': 1}
2025-10-24 07:26:54,968 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'ac73ff81-da4f-4c0d-a666-460316510fd5', 'command': 'digital_write', 'pin': 'D11', 'value': 0}
2025-10-24 07:27:51,001 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '285517b1-d453-4c3d-a7d7-48d95b5e52f3', 'command': 'digital_write', 'pin': 'D2', 'value': 1}
2025-10-24 07:27:51,001 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'a2204dc8-7a6b-4751-a77a-6e10f330cb87', 'command': 'digital_write', 'pin': 'D2', 'value': 1}
2025-10-24 07:27:52,507 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '710c5c37-06a0-4329-ae6e-47cfe1f08b84', 'command': 'digital_write', 'pin': 'D2', 'value': 0}
2025-10-24 07:27:52,508 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'e2514652-c137-4666-9915-0bdd578a6d87', 'command': 'digital_write', 'pin': 'D2', 'value': 0}
2025-10-24 07:30:49,858 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D13', 'command': 'pin_mode', 'pin': 'D13', 'mode': 'OUTPUT'}
2025-10-24 07:30:49,876 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D12', 'command': 'pin_mode', 'pin': 'D12', 'mode': 'OUTPUT'}
2025-10-24 07:30:49,895 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D11', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:30:49,916 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D10', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:30:49,936 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D9', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:30:49,956 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D8', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:31:13,709 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '82753c44-b88e-4980-a310-c06eb0b03482', 'command': 'digital_write', 'pin': 'D9', 'value': 0}
2025-10-24 07:31:14,199 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '00b18d84-9c00-4d85-9141-8fd4bc3aa426', 'command': 'digital_write', 'pin': 'D9', 'value': 1}
2025-10-24 07:31:14,577 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '6373a51e-8eff-40d2-affa-e201b379a6fc', 'command': 'digital_write', 'pin': 'D9', 'value': 0}
2025-10-24 07:31:14,905 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '51759a03-aa62-423d-a584-8338d75b8066', 'command': 'digital_write', 'pin': 'D9', 'value': 0}
2025-10-24 07:31:15,299 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '42bc123c-09bd-40c5-8f33-7075a48fd177', 'command': 'digital_write', 'pin': 'D9', 'value': 1}
2025-10-24 07:31:15,799 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '13a866b4-9009-4209-b9f0-11cb9bbb3a3a', 'command': 'digital_write', 'pin': 'D9', 'value': 0}
2025-10-24 07:31:50,451 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '985188a8-2786-431d-ad32-6f2edf26cc90', 'command': 'analog_read', 'pin': 'A0'}
2025-10-24 07:38:14,389 - ArduinoPanel - INFO - Anwendung wird beendet...
2025-10-24 07:38:14,396 - ArduinoPanel - INFO - Anwendung sauber beendet
2025-10-24 07:39:37,586 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'd8e6cf51-6979-4546-a995-23c594c9a7dd', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,587 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'c8dc6c05-2a3e-4595-a5a9-d0c66852b78a', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,587 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'c313a196-4205-4f5e-bd2b-ab0351b6abe8', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,587 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'f8636b28-3516-42c2-8855-90c626c61653', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '396a4327-69a6-4859-abcb-16ce15532863', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '257eb622-9ebf-42ec-825c-c3017b250167', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'b22a3ef8-0252-46d7-835f-7c6ab590199a', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '619b20a2-dc24-44c2-985c-0748152a1141', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '24b68118-f0ce-41e1-bcb8-712d5b35e0b2', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '5b7bfd1f-429b-4fb6-a7bd-39ebbd834f05', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '8bde127c-4d10-4378-9baf-438b12d31dce', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'e87c42f9-0eef-46a4-9f74-aa8f6b995612', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'a45caaed-6d5c-4311-9863-5a95cdd53d95', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'e5f83a25-61a3-4802-95a8-00a282aa8898', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,588 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '6327eaee-02f5-4ea6-add9-266ae200e273', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,589 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '80f9efca-e267-4177-9681-f422f55728e6', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:39:37,589 - ArduinoPanel - INFO - Richte Keyboard Shortcuts ein...
2025-10-24 07:39:43,014 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D13', 'command': 'pin_mode', 'pin': 'D13', 'mode': 'OUTPUT'}
2025-10-24 07:39:43,031 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D12', 'command': 'pin_mode', 'pin': 'D12', 'mode': 'OUTPUT'}
2025-10-24 07:39:43,052 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D11', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:39:43,072 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D10', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:39:43,091 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D9', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:39:43,111 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cfg_pm_D8', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:39:55,263 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '90df7f61-7d30-4fe7-936a-adfa00cf56a9', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:39:55,269 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '659fba1f-5f21-4dbe-aa76-643e68e950f0', 'command': 'digital_write', 'pin': 'D8', 'value': 1}
2025-10-24 07:39:55,834 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'c0849008-7a2f-403c-99a5-3f986ead4870', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:39:55,839 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'ac4bd6db-1927-4872-8359-a24d9c4ae8a0', 'command': 'digital_write', 'pin': 'D8', 'value': 0}
2025-10-24 07:39:59,161 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '80b19e11-b6a7-40be-a212-c6b597b1f257', 'command': 'digital_write', 'pin': 'D9', 'value': 1}
2025-10-24 07:39:59,167 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'b27adfe5-db48-489e-b202-d4539c31e4f0', 'command': 'digital_write', 'pin': 'D9', 'value': 1}
2025-10-24 07:39:59,548 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'd193cca1-89a6-43fa-9e5f-5d0b1569c324', 'command': 'digital_write', 'pin': 'D9', 'value': 0}
2025-10-24 07:39:59,553 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'cb5b4159-96f5-4d88-b0ea-226ddb490eaf', 'command': 'digital_write', 'pin': 'D9', 'value': 0}
2025-10-24 07:40:02,341 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '41f3e3ed-b0eb-4b1f-b632-ee2a5c282921', 'command': 'digital_write', 'pin': 'D10', 'value': 1}
2025-10-24 07:40:02,347 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '4ca47990-2665-462d-8045-581f92b30715', 'command': 'digital_write', 'pin': 'D10', 'value': 1}
2025-10-24 07:40:02,735 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'b42570a6-3daf-48d2-bf49-fb220d14e800', 'command': 'digital_write', 'pin': 'D10', 'value': 0}
2025-10-24 07:40:02,741 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '4c22db16-56dc-418e-8494-312e51197830', 'command': 'digital_write', 'pin': 'D10', 'value': 0}
2025-10-24 07:42:47,358 - ArduinoPanel - INFO - Anwendung wird beendet...
2025-10-24 07:42:47,365 - ArduinoPanel - INFO - Anwendung sauber beendet
2025-10-24 07:44:04,350 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '26dc7992-a28d-4876-8a31-751c8be926b1', 'command': 'pin_mode', 'pin': 'D10', 'mode': 'OUTPUT'}
2025-10-24 07:44:04,350 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '256a9d31-0426-4591-a507-8b35a25300c8', 'command': 'pin_mode', 'pin': 'D11', 'mode': 'OUTPUT'}
2025-10-24 07:44:04,351 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '8020e61b-c203-4e56-847e-836069b45933', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:44:04,351 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '92b36f59-0cab-44d2-bf7d-ef6f92d53799', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:44:04,351 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '4efbba9e-0b05-4bd6-9e8b-33bd5dafc18c', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:44:04,351 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '75714209-55ad-46a9-b1fc-265618f25c5a', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
